feature,type,plusType,functie,fysiekVoorkomen,plusFysiekVoorkomen,key,value
begroeidterreindeel,,,,groenvoorziening,struikrozen,landuse,flowerbed
begroeidterreindeel,,,,groenvoorziening,gras- en kruidachtigen,landcover,grass
begroeidterreindeel,,,,groenvoorziening,gras- en kruidachtigen,landuse,grass
begroeidterreindeel,,,,groenvoorziening,planten,landuse,flowerbed
begroeidterreindeel,,,,groenvoorziening,,natural,shrubbery
begroeidterreindeel,,,,groenvoorziening,bosplantsoen,landcover,trees
begroeidterreindeel,,,,grasland overig,,landcover,grass
begroeidterreindeel,,,,grasland overig,,landuse,grass
begroeidterreindeel,,,,groenvoorziening,heesters,natural,shrubbery
begroeidterreindeel,,,,groenvoorziening,bodembedekkers,natural,shrubbery
begroeidterreindeel,,,,struiken,,natural,scrub
onbegroeidterreindeel,,,,gesloten verharding,asfalt,bgt_attention,wat is dit? BGT_onbegroeid terreindeel? (gesloten verharding-asfalt)
onbegroeidterreindeel,,,,open verharding,gebakken klinkers,bgt_attention,wat is dit? BGT_onbegroeid terreindeel? (open verharding-gebakken klinkers)
onbegroeidterreindeel,,,,onverhard,,bgt_attention,wat is dit? BGT_onbegroeid terreindeel? (onverhard-)
onbegroeidterreindeel,,,,zand,,bgt_attention,wat is dit? BGT_onbegroeid terreindeel? (zand-)
onbegroeidterreindeel,,,,zand,,landcover,sand
onbegroeidterreindeel,,,,zand,zandverstuiving,bgt_attention,wat is dit? BGT_onbegroeid terreindeel? (zand-zandverstuiving)
onbegroeidterreindeel,,,,zand,zandverstuiving,landcover,sand
onbegroeidterreindeel,,,,gesloten verharding,cementbeton,bgt_attention,wat is dit? BGT_onbegroeid terreindeel? (gesloten verharding-cementbeton)
onbegroeidterreindeel,,,,half verhard,grasklinkers,bgt_attention,wat is dit? BGT_onbegroeid terreindeel? (half verhard-grasklinkers)
onbegroeidterreindeel,,,,open verharding,tegels,bgt_attention,wat is dit? BGT_onbegroeid terreindeel? (open verharding-tegels)
onbegroeidterreindeel,,,,onverhard,zand,bgt_attention,wat is dit? BGT_onbegroeid terreindeel? (onverhard-zand)
onbegroeidterreindeel,,,,onverhard,zand,landcover,sand
onbegroeidterreindeel,,,,half verhard,,bgt_attention,wat is dit? BGT_onbegroeid terreindeel? (half verhard-)
onbegroeidterreindeel,,,,erf,,landuse,residential
onbegroeidterreindeel,,,,half verhard,gravel,bgt_attention,wat is dit? BGT_onbegroeid terreindeel? (half verhard-gravel)
onbegroeidterreindeel,,,,open verharding,betonstraatstenen,bgt_attention,wat is dit? BGT_onbegroeid terreindeel? (open verharding-betonstraatstenen)
onbegroeidterreindeel,,,,open verharding,sierbestrating,bgt_attention,wat is dit? BGT_onbegroeid terreindeel? (open verharding-sierbestrating)
onbegroeidterreindeel,,,,gesloten verharding,kunststof,bgt_attention,wat is dit? BGT_onbegroeid terreindeel? (gesloten verharding-kunststof)
onbegroeidterreindeel,,,,gesloten verharding,,bgt_attention,wat is dit? BGT_onbegroeid terreindeel? (gesloten verharding-)
onbegroeidterreindeel,,,,open verharding,,bgt_attention,wat is dit? BGT_onbegroeid terreindeel? (open verharding-)
onbegroeidterreindeel,,,,onverhard,boomschors,bgt_attention,wat is dit? BGT_onbegroeid terreindeel? (onverhard-boomschors)
onbegroeidterreindeel,,,,half verhard,grind,bgt_attention,wat is dit? BGT_onbegroeid terreindeel? (half verhard-grind)
onbegroeidterreindeel,,,,open verharding,beton element,bgt_attention,wat is dit? BGT_onbegroeid terreindeel? (open verharding-beton element)
ondersteunendwaterdeel,"oever, slootkant",,,,,landuse,grass
ondersteunendwaterdeel,"oever, slootkant",,,,,slope,yes
ondersteunendwaterdeel,slik,,,,,landuse,grass
ondersteunendwegdeel,,,verkeerseiland,open verharding,beton element,area:highway,traffic_island
ondersteunendwegdeel,,,verkeerseiland,open verharding,beton element,landuse,highway
ondersteunendwegdeel,,,verkeerseiland,open verharding,gebakken klinkers,area:highway,traffic_island
ondersteunendwegdeel,,,verkeerseiland,open verharding,gebakken klinkers,landuse,highway
ondersteunendwegdeel,,,verkeerseiland,gesloten verharding,asfalt,area:highway,traffic_island
ondersteunendwegdeel,,,verkeerseiland,gesloten verharding,asfalt,landuse,highway
ondersteunendwegdeel,,,verkeerseiland,gesloten verharding,cementbeton,area:highway,traffic_island
ondersteunendwegdeel,,,verkeerseiland,gesloten verharding,cementbeton,landuse,highway
ondersteunendwegdeel,,,berm,groenvoorziening,,area:highway,verge
ondersteunendwegdeel,,,berm,groenvoorziening,,landuse,highway
ondersteunendwegdeel,,,verkeerseiland,open verharding,,area:highway,traffic_island
ondersteunendwegdeel,,,verkeerseiland,open verharding,,landuse,highway
ondersteunendwegdeel,,,berm,gesloten verharding,,area:highway,verge
ondersteunendwegdeel,,,berm,gesloten verharding,,landuse,highway
ondersteunendwegdeel,,,verkeerseiland,half verhard,grasklinkers,area:highway,traffic_island
ondersteunendwegdeel,,,verkeerseiland,half verhard,grasklinkers,landuse,highway
ondersteunendwegdeel,,,verkeerseiland,open verharding,sierbestrating,area:highway,traffic_island
ondersteunendwegdeel,,,verkeerseiland,open verharding,sierbestrating,landuse,highway
ondersteunendwegdeel,,,verkeerseiland,groenvoorziening,,area:highway,traffic_island
ondersteunendwegdeel,,,verkeerseiland,groenvoorziening,,landuse,highway
ondersteunendwegdeel,,,verkeerseiland,open verharding,betonstraatstenen,area:highway,traffic_island
ondersteunendwegdeel,,,verkeerseiland,open verharding,betonstraatstenen,landuse,highway
ondersteunendwegdeel,,,verkeerseiland,gesloten verharding,,area:highway,traffic_island
ondersteunendwegdeel,,,verkeerseiland,gesloten verharding,,landuse,highway
ondersteunendwegdeel,,,verkeerseiland,open verharding,tegels,area:highway,traffic_island
ondersteunendwegdeel,,,verkeerseiland,open verharding,tegels,landuse,highway
waterdeel,"greppel, droge sloot",,,,,natural,water
waterdeel,"greppel, droge sloot",,,,,intermittent,yes
waterdeel,"greppel, droge sloot",,,,,water,ditch
waterdeel,waterloop,beek,,,,natural,water
waterdeel,waterloop,beek,,,,water,stream
waterdeel,waterloop,bron,,,,natural,spring
waterdeel,waterloop,gracht,,,,natural,water
waterdeel,waterloop,gracht,,,,water,canal
waterdeel,waterloop,kanaal,,,,natural,water
